JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5766979_39|11-19:01:10|2023-05-21T22:31:44|2023-06-02T17:32:54|1000Mc|1|11-19:01:10|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_40|12-04:42:48|2023-05-21T22:31:44|2023-06-03T03:14:32|1000Mc|1|12-04:42:48|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_41|11-19:03:54|2023-05-21T22:31:44|2023-06-02T17:35:38|1000Mc|1|11-19:03:54|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_42|11-06:24:43|2023-05-21T22:31:44|2023-06-02T04:56:27|1000Mc|1|11-06:24:43|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_43|11-00:17:27|2023-05-21T22:31:44|2023-06-01T22:49:11|1000Mc|1|11-00:17:27|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_44|11-03:55:35|2023-05-21T22:31:44|2023-06-02T02:27:19|1000Mc|1|11-03:55:35|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_45|12-09:53:18|2023-05-21T22:31:44|2023-06-03T08:25:02|1000Mc|1|12-09:53:18|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_46|11-14:34:27|2023-05-21T22:31:44|2023-06-02T13:06:11|1000Mc|1|11-14:34:27|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn26|serial-long|
5766979_47|10-20:15:00|2023-05-21T22:31:44|2023-06-01T18:46:44|1000Mc|1|10-20:15:00|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn25|serial-long|
5766979_48|10-20:57:41|2023-05-21T22:31:44|2023-06-01T19:29:25|1000Mc|1|10-20:57:41|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn25|serial-long|
5766979_49|10-23:54:56|2023-05-21T22:31:44|2023-06-01T22:26:40|1000Mc|1|10-23:54:56|2023-05-21T22:31:44|2023-05-21T22:31:44||COMPLETED|dipankar.roy|cn25|serial-long|
